name, version, created, downloads
notable, 0.4.1, 2022-09-27, 10172
notable, 0.4.0, 2022-01-11, 21874
notable, 0.3.4, 2020-09-08, 27511
notable, 0.3.3, 2020-07-26, 10542
notable, 0.3.2, 2020-07-24, 1113
notable, 0.3.1, 2020-05-20, 10879
notable, 0.3.0, 2019-05-29, 21428
notable, 0.2.2, 2018-05-18, 6804
notable, 0.2.1, 2017-05-01, 11001
notable, 0.2.0, 2017-01-17, 1687
notable, 0.1.0, 2016-02-21, 3059
notable, 0.0.3, 2015-03-16, 4773
notable, 0.0.2, 2014-12-22, 2169
notable, 0.0.1, 2014-12-22, 2088
