name, version, created, downloads
datasketches, 0.3.0, 2022-12-09, 166
datasketches, 0.2.7, 2022-11-05, 230
datasketches, 0.2.6, 2022-07-13, 479
datasketches, 0.2.5, 2022-05-21, 560
datasketches, 0.2.4, 2021-12-28, 17135
datasketches, 0.2.3, 2021-09-29, 1180
datasketches, 0.2.2, 2021-07-17, 1354
datasketches, 0.2.1, 2021-05-23, 1446
datasketches, 0.2.0, 2021-05-18, 1381
datasketches, 0.1.2, 2021-01-22, 1150
datasketches, 0.1.1, 2021-01-20, 1088
datasketches, 0.1.0, 2021-01-20, 1071
