name, version, created, downloads
eps, 0.4.1, 2022-09-28, 1760
eps, 0.4.0, 2022-09-02, 660
eps, 0.3.9, 2021-10-14, 30949
eps, 0.3.8, 2021-02-08, 18411
eps, 0.3.7, 2020-11-24, 2680
eps, 0.3.6, 2020-06-19, 6579
eps, 0.3.5, 2020-06-11, 1421
eps, 0.3.4, 2020-04-05, 11690
eps, 0.3.3, 2020-02-25, 3083
eps, 0.3.2, 2019-12-09, 1758
eps, 0.3.1, 2019-12-06, 1484
eps, 0.3.0, 2019-09-05, 2602
eps, 0.2.1, 2019-05-19, 2456
eps, 0.2.0, 2019-05-19, 1700
eps, 0.1.1, 2018-07-05, 10020
eps, 0.1.0, 2018-07-03, 1443
