name, version, created, downloads
lockbox, 1.1.1, 2022-12-08, 233208
lockbox, 1.1.0, 2022-10-10, 83598
lockbox, 1.0.0, 2022-06-12, 226426
lockbox, 0.6.8, 2022-01-26, 535241
lockbox, 0.6.7, 2022-01-25, 2041
lockbox, 0.6.6, 2021-09-28, 594222
lockbox, 0.6.5, 2021-07-07, 262608
lockbox, 0.6.4, 2021-04-06, 428953
lockbox, 0.6.3, 2021-03-31, 12668
lockbox, 0.6.2, 2021-02-08, 8905499
lockbox, 0.6.1, 2020-12-04, 211461
lockbox, 0.6.0, 2020-12-03, 11136
lockbox, 0.5.0, 2020-11-22, 28755
lockbox, 0.4.9, 2020-10-02, 362077
lockbox, 0.4.8, 2020-08-31, 141659
lockbox, 0.4.7, 2020-08-19, 34179
lockbox, 0.4.6, 2020-07-03, 71423
lockbox, 0.4.5, 2020-06-26, 5676
lockbox, 0.4.4, 2020-06-24, 1830
lockbox, 0.4.3, 2020-05-26, 36521
lockbox, 0.4.2, 2020-05-11, 12505
lockbox, 0.4.1, 2020-05-08, 3898
lockbox, 0.4.0, 2020-05-04, 4271
lockbox, 0.3.7, 2020-04-20, 23255
lockbox, 0.3.6, 2020-04-20, 2491
lockbox, 0.3.5, 2020-04-13, 7946
lockbox, 0.3.4, 2020-04-06, 10848
lockbox, 0.3.3, 2020-02-16, 4157894
lockbox, 0.3.2, 2020-02-14, 18348
lockbox, 0.3.1, 2019-12-27, 21735
lockbox, 0.3.0, 2019-12-22, 1735
lockbox, 0.2.5, 2019-12-14, 5251
lockbox, 0.2.4, 2019-08-16, 44898
lockbox, 0.2.3, 2019-07-31, 2733
lockbox, 0.2.2, 2019-07-24, 4432
lockbox, 0.2.1, 2019-07-23, 1636
lockbox, 0.2.0, 2019-07-08, 1817
lockbox, 0.1.1, 2019-03-01, 13335
lockbox, 0.1.0, 2019-01-02, 1543
