name, version, created, downloads
xgb, 0.7.1, 2022-11-01, 2728
xgb, 0.7.0, 2022-06-06, 27168
xgb, 0.6.0, 2021-10-23, 10070
xgb, 0.5.3, 2021-05-13, 4219
xgb, 0.5.2, 2021-03-09, 2517
xgb, 0.5.1, 2021-02-09, 1254
xgb, 0.5.0, 2020-12-12, 2084
xgb, 0.4.1, 2020-08-27, 1212
xgb, 0.4.0, 2020-05-17, 1557
xgb, 0.3.1, 2020-04-16, 4396
xgb, 0.3.0, 2020-02-20, 2304
xgb, 0.2.1, 2020-02-12, 1317
xgb, 0.2.0, 2020-01-27, 1325
xgb, 0.1.3, 2019-10-28, 1553
xgb, 0.1.2, 2019-08-19, 1597
xgb, 0.1.1, 2019-08-16, 1498
xgb, 0.1.0, 2019-08-15, 1484
