name, version, created, downloads
pgdexter, 0.4.1, 2022-10-15, 360
pgdexter, 0.4.0, 2022-07-28, 532
pgdexter, 0.3.10, 2021-03-26, 2452
pgdexter, 0.3.9, 2020-11-24, 1364
pgdexter, 0.3.8, 2020-08-17, 1248
pgdexter, 0.3.7, 2020-07-10, 1164
pgdexter, 0.3.6, 2020-03-31, 1425
pgdexter, 0.3.5, 2018-04-30, 1990
pgdexter, 0.3.4, 2018-04-10, 1357
pgdexter, 0.3.3, 2018-02-23, 1411
pgdexter, 0.3.2, 2018-01-05, 1428
pgdexter, 0.3.1, 2017-12-29, 1388
pgdexter, 0.3.0, 2017-12-23, 1385
pgdexter, 0.2.1, 2017-09-02, 1548
pgdexter, 0.2.0, 2017-08-28, 1450
pgdexter, 0.1.6, 2017-08-26, 1441
pgdexter, 0.1.5, 2017-08-15, 1458
pgdexter, 0.1.4, 2017-07-03, 1581
pgdexter, 0.1.3, 2017-07-01, 1477
pgdexter, 0.1.2, 2017-06-27, 1497
pgdexter, 0.1.1, 2017-06-25, 1469
pgdexter, 0.1.0, 2017-06-24, 1456
