name, version, created, downloads
or-tools, 0.9.0, 2022-12-03, 552
or-tools, 0.8.2, 2022-11-05, 480
or-tools, 0.8.1, 2022-08-22, 1557
or-tools, 0.8.0, 2022-08-21, 299
or-tools, 0.7.3, 2022-07-23, 623
or-tools, 0.7.2, 2022-05-28, 1047
or-tools, 0.7.1, 2022-05-28, 473
or-tools, 0.7.0, 2022-03-23, 729
or-tools, 0.6.3, 2022-03-13, 894
or-tools, 0.6.2, 2022-02-09, 969
or-tools, 0.6.1, 2022-01-22, 957
or-tools, 0.6.0, 2021-12-17, 1071
or-tools, 0.5.4, 2021-10-01, 1463
or-tools, 0.5.3, 2021-08-03, 1415
or-tools, 0.5.2, 2021-07-07, 1328
or-tools, 0.5.1, 2021-05-23, 1449
or-tools, 0.5.0, 2021-04-30, 1466
or-tools, 0.4.3, 2021-03-26, 1489
or-tools, 0.4.2, 2021-03-03, 1517
or-tools, 0.4.1, 2021-02-23, 1465
or-tools, 0.4.0, 2021-01-14, 1102
or-tools, 0.3.4, 2021-01-14, 5685
or-tools, 0.3.3, 2020-10-13, 1205
or-tools, 0.3.2, 2020-08-04, 1180
or-tools, 0.3.1, 2020-07-21, 1125
or-tools, 0.3.0, 2020-07-21, 1077
or-tools, 0.2.0, 2020-05-23, 1302
or-tools, 0.1.5, 2020-04-23, 1295
or-tools, 0.1.4, 2020-04-20, 1230
or-tools, 0.1.3, 2020-03-24, 1320
or-tools, 0.1.2, 2020-02-18, 1355
or-tools, 0.1.1, 2020-02-16, 1311
or-tools, 0.1.0, 2020-02-13, 1329
